Utility name,City,People served,Zip
Alamo Sewer and Water Gid,Alamo,Population served: 900,89001
Caliente Public Utilities,Caliente,"Population served: 1,100",89001
Panaca Farmstead Water Association,Panaca,Population served: 900,89001
Pioche Public Utilities,Pioche,Population served: 700,89001
Pioche Public Utilities Castleton,Pioche,Population served: 60,89001
Amargosa Water Company,Las Vegas,Population served: 54,89003
Anchor In Mobile Home Park,Pahrump,Population served: 36,89003
Beatty Water and Sanitation District,Beatty,"Population served: 1,024",89003
Big Five Park,Las Vegas,Population served: 65,89003
Big Valley Mobile Home Park,Pahrump,Population served: 50,89003
C Valley Mobile Home Park,Pahrump,Population served: 54,89003
Calvada Meadows Gbwc,Pahrump,Population served: 77,89003
Carvers Smokey Valley Rv and Mobile Home Park,Round Mountain,Population served: 250,89003
Country View Estates Gbwc,Pahrump,"Population served: 1,292",89003
Desert Mirage Homeowners Association,Pahrump,Population served: 230,89003
Desert Utilities,Pahrump,"Population served: 1,086",89003
Escapee Co-op of Nevada,Pahrump,Population served: 200,89003
Gabbs Water System,Pahrump,Population served: 411,89003
Manhattan Town Water,Pahrump,Population served: 40,89003
Mountain Falls Water System Gbwc,Pahrump,"Population served: 1,718",89003
Mountain View Mobile Home Park Gbwc,Pahrump,Population served: 65,89003
Pahrump Utility Company Inc.,Pahrump,Population served: 985,89003
Pleasant Valley,Pahrump,Population served: 110,89003
Rancho Vista 4,Pahrump,Population served: 50,89003
Round Mountain Puc,Round Mountain,"Population served: 1,200",89003
Shoshone Estates Water Company Inc.,Las Vegas,Population served: 240,89003
Sunset Mobile Home Park,Las Vegas,Population served: 90,89003
Tonopah Public Utilities,Tonopah,"Population served: 2,853",89003
Utilities Inc. of Central Nevada,Pahrump,"Population served: 8,538",89003
Nevada State Veterans Home Boulder City,"Boulder City, NV",Population served:258,89005
City of Henderson,"Henderson, NV","Population served:321,781",89005
Alamo Sewer and Water Gid,Alamo,Population served: 900,89008
Caliente Public Utilities,Caliente,"Population served: 1,100",89008
Panaca Farmstead Water Association,Panaca,Population served: 900,89008
Pioche Public Utilities,Pioche,Population served: 700,89008
Pioche Public Utilities Castleton,Pioche,Population served: 60,89008
Goldfield Town Water,Goldfield,Population served: 350,89010
Silver Peak Water System,Goldfield,Population served: 138,89010
Goldfield Town Water,Goldfield,Population served: 350,89013
Silver Peak Water System,Goldfield,Population served: 138,89013
Boulder City,"Boulder City, NV","Population served:15,000",89015
Alamo Sewer and Water Gid,Alamo,Population served: 900,89017
Caliente Public Utilities,Caliente,"Population served: 1,100",89017
Panaca Farmstead Water Association,Panaca,Population served: 900,89017
